Title,Directed by,Starring,Lead,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Mama's Boy,Tim Hamilton,"['Jon Heder', 'Diane Keaton', 'Jeff Daniels', 'Anna Faris']",Jon Heder,2007-12-21,12.0,93.0,United States,English,,,,PG-13
I Am Legend,Francis Lawrence,"['Will Smith', 'Alice Braga', 'Dash Mihok']",Will Smith,2007-12-14,12.0,101.0,United States,English,150000000.0,585300000.0,77211321.0,PG-13
Sweeney Todd:The Demon Barber of Fleet Street,Tim Burton,"['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman', 'Timothy Spall', 'Sacha Baron Cohen']",Johnny Depp,2007-12-03,12.0,116.0,,English,50000000.0,153400000.0,9300805.0,R
P.S. I Love You,Richard LaGravenese,"['Hilary Swank', 'Gerard Butler', 'Lisa Kudrow', 'Harry Connick Jr.', 'Gina Gershon', 'Jeffrey Dean Morgan', 'Kathy Bates']",Hilary Swank,2007-12-21,12.0,125.0,United States,English,30000000.0,156800000.0,6481221.0,PG-13
The Bucket List,Rob Reiner,"['Jack Nicholson', 'Morgan Freeman', 'Sean Hayes', 'Rob Morrow']",Jack Nicholson,2007-12-15,12.0,97.0,United States,English,45000000.0,175400000.0,335837.0,PG-13
One Missed Call,Eric Valette,"['Shannyn Sossamon', 'Ed Burns', 'Ana Claudia Talancón', 'Ray Wise', 'Azura Skye']",Shannyn Sossamon,2008-01-04,1.0,87.0,,English,20000000.0,45800000.0,12511473.0,PG-13
Fool's Gold,Andy Tennant,"['Matthew McConaughey', 'Kate Hudson', 'Donald Sutherland', 'Ewen Bremner', 'Alexis Dziena', 'Kevin Hart', 'Ray Winstone']",Matthew McConaughey,2008-02-08,2.0,113.0,United States,English,70000000.0,111000000.0,21589295.0,PG-13
L: Change the World,Hideo Nakata,Kenichi Matsuyama,K,2008-02-09,2.0,129.0,Japan,,,35990000.0,,
"10,000 BC",Roland Emmerich,"['Steven Strait', 'Camilla Belle', 'Cliff Curtis']",Steven Strait,2008-03-07,3.0,109.0,United States,English,105000000.0,269800000.0,35867488.0,PG-13
Broken Angel,Aclan Bates,"['Nehir Erdoğan', 'Nilüfer Açıkalın', 'Patrick Muldoon', 'Devon Odessa', 'Fay Masterson', 'Jay Karnes', 'Ayşe Nil Şamlıoğlu', 'Zachary Charles', 'Yuri Bradac']",Nehir Erdoğan,2008-03-14,3.0,,,,,,,
The Red Baron,Nikolai Müllerschön,"['Matthias Schweighöfer', 'Joseph Fiennes', 'Til Schweiger', 'Lena Headey']",Matthias Schweighöfer,2008-04-10,4.0,123.0,,,,,,PG-13
Chaos Theory,Marcos Siega,"['Ryan Reynolds', 'Stuart Townsend', 'Emily Mortimer', 'Sarah Chalke', 'Mike Erwin']",Ryan Reynolds,2008-04-11,4.0,87.0,United States,English,,,,PG-13
Harold & Kumar Escape from Guantanamo Bay,"['Jon Hurwitz', 'Hayden Schlossberg']","['John Cho', 'Kal Penn', 'Rob Corddry', 'Roger Bart', 'Neil Patrick Harris']",John Cho,2008-04-25,4.0,102.0,United States,English,12000000.0,43500000.0,5200000.0,R
Speed Racer,The Wachowskis,"['Emile Hirsch', 'Christina Ricci', 'John Goodman', 'Susan Sarandon', 'Matthew Fox', 'Roger Allam', 'Paulie Litt', 'Benno Fürmann', 'Hiroyuki Sanada', 'Rain', 'Richard Roundtree', 'Kick Gurry', 'John Benfield', 'Christian Oliver', 'Ralph Herforth', 'Scott Porter', 'Yu Nan', 'Nayo Wallace', 'Melvil Poupaud', 'Ramon Tikaram', 'Ben Miles', 'Peter Fernandez', 'Cosma Shiva Hagen', 'Moritz Bleibtreu', 'Karl Yune', 'Joon Park']",Emile Hirsch,2008-04-26,4.0,135.0,,,120000000.0,93900000.0,18561337.0,PG
Sex and the City,Michael Patrick King,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'Jennifer Hudson', 'Candice Bergen', 'Chris Noth']",Sarah Jessica Parker,2008-05-12,5.0,145.0,United States,English,65000000.0,418800000.0,57038404.0,R
Get Smart,Peter Segal,"['Steve Carell', 'Anne Hathaway', 'Dwayne Johnson', 'The Great Khali', 'Alan Arkin', 'Terence Stamp', 'James Caan']",Steve Carell,2008-06-20,6.0,110.0,United States,English,80000000.0,230700000.0,38683480.0,PG-13
Kit Kittredge: An American Girl,Patricia Rozema,"['Abigail Breslin', 'Julia Ormond', ""Chris O'Donnell"", 'Glenne Headly', 'Jane Krakowski', 'Wallace Shawn', 'Joan Cusack', 'Stanley Tucci']",Abigail Breslin,2008-07-02,7.0,100.0,United States,English,10000000.0,17700000.0,220297.0,
Journey to the Center of the Earth,Eric Brevig,"['Brendan Fraser', 'Josh Hutcherson', 'Anita Briem', 'Seth Meyers']",Brendan Fraser,2008-07-11,7.0,93.0,United States,English,60000000.0,244200000.0,21018141.0,PG
The Dark Knight,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Heath Ledger', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman']",Christian Bale,2008-07-14,7.0,152.0,,English,185000000.0,1004999999.9999999,158411483.0,PG-13
The Sky Crawlers,Mamoru Oshii,"['Rinko Kikuchi', 'Ryo Kase', 'Shōsuke Tanihara', 'Chiaki Kuriyama']",Rinko Kikuchi,2008-08-02,8.0,122.0,Japan,Japanese,3000000.0,5800000.0,,PG-13
The Sisterhood of the Traveling Pants 2,Sanaa Hamri,"['Amber Tamblyn', 'America Ferrera', 'Blake Lively', 'Alexis Bledel', 'Rachel Nichols', 'Rachel Ticotin', 'Shohreh Aghdashloo', 'Blythe Danner']",Amber Tamblyn,2008-08-06,8.0,120.0,United States,English,27000000.0,44300000.0,9833340.0,PG
Star Wars: The Clone Wars,Dave Filoni,"['Matt Lanter', 'Ashley Eckstein', 'James Arnold Taylor', 'Tom Kane', 'Dee Bradley Baker', 'Ian Abercrombie', 'Catherine Taber', 'Christopher Lee', 'Samuel L. Jackson', 'Anthony Daniels']",Matt Lanter,2008-08-15,8.0,98.0,United States,,8500000.0,68300000.0,14611273.0,PG
The Women,Diane English,"['Meg Ryan', 'Annette Bening', 'Eva Mendes', 'Debra Messing', 'Jada Pinkett Smith', 'Carrie Fisher', 'Cloris Leachman', 'Debi Mazar', 'Bette Midler', 'Candice Bergen']",Meg Ryan,2008-09-04,9.0,114.0,United States,English,16000000.0,50000000.0,,
Saas Bahu Aur Sensex,Shona Urvashi,"['Tanushree Dutta', 'Ankur Khanna', 'Kirron Kher', 'Farooq Sheikh']",Tanushree Dutta,2008-09-19,9.0,,India,Hindi,,,,
Nights in Rodanthe,George C. Wolfe,"['Richard Gere', 'Diane Lane', 'Scott Glenn', 'Christopher Meloni', 'Viola Davis']",Richard Gere,2008-09-26,9.0,97.0,United States,English,,84400000.0,13418454.0,PG-13
Appaloosa,Ed Harris,"['Viggo Mortensen', 'Ed Harris', 'Renée Zellweger', 'Jeremy Irons', 'Timothy Spall', 'Lance Henriksen']",Viggo Mortensen,2008-09-19,9.0,108.0,United States,English,20000000.0,27700000.0,248847.0,R
Body of Lies,Ridley Scott,"['Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong', 'Golshifteh Farahani', 'Oscar Isaac', 'Simon McBurney']",Leonardo DiCaprio,2008-10-10,10.0,128.0,United States,English,67500000.0,118600000.0,12884416.0,R
Pride and Glory,Gavin O'Connor,"['Edward Norton', 'Colin Farrell', 'Jon Voight', 'Noah Emmerich', 'Jennifer Ehle']",Edward Norton,2008-10-24,10.0,130.0,,English,30000000.0,,6262396.0,R
Ichi,Fumihiko Sori,"['Haruka Ayase', 'Takao Osawa', 'Shido Nakamura', 'Yosuke Kubozuka']",Haruka Ayase,2008-10-25,10.0,120.0,Japan,Japanese,,,,R
RocknRolla,Guy Ritchie,"['Gerard Butler', 'Tom Wilkinson', 'Thandiwe Newton', 'Mark Strong', 'Idris Elba', 'Tom Hardy', 'Toby Kebbell', 'Jeremy Piven', 'Ludacris']",Gerard Butler,2008-09-04,9.0,114.0,,,18000000.0,25000000.0,144701.0,R
Four Christmases,Seth Gordon,"['Vince Vaughn', 'Reese Witherspoon', 'Robert Duvall', 'Jon Favreau', 'Mary Steenburgen', 'Dwight Yoakam', 'Tim McGraw', 'Kristin Chenoweth', 'Jon Voight', 'Sissy Spacek']",Vince Vaughn,2008-11-26,11.0,89.0,,English,80000000.0,163700000.0,31069826.0,PG-13
Gran Torino,Clint Eastwood,Clint Eastwood,C,2008-12-12,12.0,116.0,United States,,25000000.0,270000000.0,271720.0,R
1+1/2 Knights: In Search of the Ravishing Princess Herzelinde,Til Schweiger,"['Til Schweiger', 'Rick Kavanian', 'Julia Dietze', 'Thomas Gottschalk', 'Udo Kier']",Til Schweiger,2008-12-18,12.0,115.0,Germany,German,,,,
Yes Man,Peyton Reed,"['Jim Carrey', 'Zooey Deschanel', 'Bradley Cooper', 'John Michael Higgins', 'Terence Stamp']",Jim Carrey,2008-12-09,12.0,104.0,,English,70000000.0,223200000.0,18262471.0,PG-13
The Curious Case of Benjamin Button,David Fincher,"['Brad Pitt', 'Cate Blanchett', 'Mahershala Ali', 'Taraji P. Henson', 'Julia Ormond', 'Jason Flemyng', 'Elias Koteas', 'Tilda Swinton']",Brad Pitt,2008-12-25,12.0,166.0,United States,English,150000000.0,335800000.0,26853816.0,PG-13
Slumdog Millionaire,Danny Boyle,"['Dev Patel', 'Freida Pinto', 'Madhur Mittal', 'Anil Kapoor', 'Irrfan Khan']",Dev Patel,,,120.0,United Kingdom,English,15000000.0,378100000.0,360018.0,R
Chandni Chowk to China,Nikkhil Advani,"['Akshay Kumar', 'Deepika Padukone', 'Mithun Chakraborty', 'Ranvir Shorey', 'Gordon Liu']",Akshay Kumar,2009-01-16,1.0,154.0,India,"Hindi
Mandarin Chinese

English",,,629921.0,PG-13
The Ramen Girl,Robert Allan Ackerman,"['Brittany Murphy', 'Sohee Park', 'Toshiyuki Nishida', 'Tammy Blanchard', 'Kimiko Yo', 'Renji Ishibashi']",Brittany Murphy,2008-10-23,10.0,102.0,,,32000000.0,,,PG-13
Inkheart,Iain Softley,"['Brendan Fraser', 'Paul Bettany', 'Helen Mirren', 'Jim Broadbent', 'Andy Serkis', 'Eliza Hope Bennett', 'Rafi Gavron']",Brendan Fraser,2008-12-11,12.0,106.0,,English,60000000.0,,7601379.0,PG
The Secret of Moonacre,Gábor Csupó,"['Ioan Gruffudd', 'Tim Curry', 'Natascha McElhone', 'Juliet Stevenson', 'Dakota Blue Richards']",Ioan Gruffudd,2008-09-06,9.0,103.0,,English,27000000.0,7000000.0,,PG
He's Just Not That Into You,Ken Kwapis,"['Ben Affleck', 'Jennifer Aniston', 'Drew Barrymore', 'Jennifer Connelly', 'Kevin Connolly', 'Bradley Cooper', 'Ginnifer Goodwin', 'Scarlett Johansson', 'Kris Kristofferson', 'Justin Long']",Ben Affleck,2009-01-24,1.0,129.0,United States,English,40000000.0,178900000.0,27785487.0,PG-13
Friday the 13th,Marcus Nispel,"['Jared Padalecki', 'Danielle Panabaker', 'Aaron Yoo', 'Amanda Righetti', 'Travis Van Winkle', 'Derek Mears']",Jared Padalecki,2009-02-09,2.0,97.0,United States,English,19000000.0,92700000.0,40570365.0,R
"Mord ist mein Geschäft, Liebling",Sebastian Niemann,"['Rick Kavanian', 'Nora Tschirner', 'Christian Tramitz', 'Bud Spencer', 'Franco Nero']",Rick Kavanian,2009-02-26,2.0,107.0,Germany,German,,,,
Watchmen,Zack Snyder,"['Malin Åkerman', 'Billy Crudup', 'Matthew Goode', 'Carla Gugino', 'Jackie Earle Haley', 'Jeffrey Dean Morgan', 'Patrick Wilson']",Malin Åkerman,2009-02-23,2.0,163.0,United States,English,130000000.0,185300000.0,55214334.0,R
Observe and Report,Jody Hill,"['Seth Rogen', 'Michael Peña', 'Ray Liotta', 'Anna Faris']",Seth Rogen,2009-03-16,3.0,86.0,United States,English,18000000.0,27000000.0,11017334.0,R
17 Again,Burr Steers,"['Zac Efron', 'Leslie Mann', 'Thomas Lennon', 'Michelle Trachtenberg', 'Matthew Perry']",Zac Efron,2009-04-17,4.0,105.0,United States,English,40000000.0,139500000.0,23722310.0,PG-13
Coco Before Chanel,Anne Fontaine,"['Audrey Tautou', 'Benoît Poelvoorde', 'Alessandro Nivola', 'Marie Gillain', 'Emmanuelle Devos']",Audrey Tautou,2009-04-06,4.0,105.0,,,22200000.0,50800000.0,406768.0,PG-13
Ghosts of Girlfriends Past,Mark Waters,"['Matthew McConaughey', 'Jennifer Garner', 'Breckin Meyer', 'Lacey Chabert', 'Robert Forster', 'Anne Archer', 'Emma Stone', 'Michael Douglas']",Matthew McConaughey,2009-05-01,5.0,95.0,United States,English,37500000.0,102400000.0,15411434.0,PG-13
Goemon,Kazuaki Kiriya,"['Yōsuke Eguchi', 'Takao Osawa', 'Ryōko Hirosue']",Yōsuke Eguchi,2009-05-01,5.0,128.0,Japan,Japanese,9000000.0,,,
Terminator Salvation,McG,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood', 'Bryce Dallas Howard', 'Common', 'Jane Alexander', 'Helena Bonham Carter']",Christian Bale,2009-05-21,5.0,115.0,United States,English,200000000.0,371400000.0,42558390.0,PG-13
The Hangover,Todd Phillips,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Heather Graham', 'Justin Bartha', 'Jeffrey Tambor']",Bradley Cooper,2009-05-30,5.0,100.0,United States,English,35000000.0,469300000.0,44979319.0,R
The Cell 2,Tim Iacofano,"['Tessie Santiago', 'Chris Bruno', 'Frank Whaley']",Tessie Santiago,2009-06-16,6.0,94.0,United States,English,,,17515050.0,R
My Sister's Keeper,Nick Cassavetes,"['Cameron Diaz', 'Abigail Breslin', 'Alec Baldwin', 'Jason Patric', 'Sofia Vassilieva', 'Joan Cusack']",Cameron Diaz,2009-06-26,6.0,109.0,United States,English,30000000.0,92700000.0,12442212.0,PG-13
Harry Potter and the Half-Blood Prince,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Jim Broadbent', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Michael Gambon', 'Alan Rickman', 'Maggie Smith', 'Timothy Spall', 'David Thewlis', 'Julie Walters']",Daniel Radcliffe,2009-07-07,7.0,153.0,,English,250000000.0,934500000.0,77835727.0,PG
Orphan,Jaume Collet-Serra,"['Vera Farmiga', 'Peter Sarsgaard', 'Isabelle Fuhrman', 'CCH Pounder', 'Jimmy Bennett']",Vera Farmiga,2009-07-21,7.0,123.0,,English,20000000.0,78800000.0,12871483.0,R
The Time Traveler's Wife,Robert Schwentke,"['Rachel McAdams', 'Eric Bana', 'Arliss Howard', 'Ron Livingston']",Rachel McAdams,2009-08-14,8.0,107.0,United States,English,39000000.0,101300000.0,18623171.0,PG-13
Summer Wars,Mamoru Hosoda,"['Ryunosuke Kamiki', 'Nanami Sakuraba', 'Mitsuki Tanimura', 'Sumiko Fuji']",Ryunosuke Kamiki,2009-08-01,8.0,114.0,Japan,Japanese,,,1412.0,PG
Shorts: The Adventures of the Wishing Rock,Robert Rodriguez,"['Jon Cryer', 'William H. Macy', 'Leslie Mann', 'James Spader', 'Jimmy Bennett', 'Kat Dennings']",Jon Cryer,,,89.0,United States,English,20000000.0,29000000.0,6410339.0,PG
The Final Destination,David R. Ellis,"['Bobby Campo', 'Shantel VanSanten', 'Mykelti Williamson']",Bobby Campo,2009-08-28,8.0,82.0,United States,English,40000000.0,186200000.0,27408309.0,R
Whiteout,Dominic Sena,"['Kate Beckinsale', 'Gabriel Macht', 'Columbus Short', 'Tom Skerritt']",Kate Beckinsale,2009-09-11,9.0,101.0,,,35000000.0,17800000.0,4915104.0,R
The Informant!,Steven Soderbergh,"['Matt Damon', 'Scott Bakula', 'Joel McHale', 'Melanie Lynskey']",Matt Damon,2009-09-18,9.0,108.0,United States,English,22000000.0,41800000.0,10464314.0,R
The Firm,Nick Love,"['Calum McNab', 'Paul Anderson', 'Lewis Banks', 'Daniel Mays', 'Camille Coduri']",Calum McNab,2009-09-18,9.0,90.0,United Kingdom,English,,967967.82,25400000.0,R
The Hills Run Red,Dave Parker,"['Sophie Monk', 'Tad Hilgenbrink', 'Janet Montgomery', 'Alex Wyndham', 'William Sadler']",Sophie Monk,2009-06-12,6.0,81.0,United States,English,,,,
The Invention of Lying,"['Ricky Gervais', 'Matthew Robinson']","['Ricky Gervais', 'Jennifer Garner', 'Jonah Hill', 'Louis C.K.', 'Jeffrey Tambor', 'Fionnula Flanagan', 'Rob Lowe', 'Tina Fey']",Ricky Gervais,2009-09-14,9.0,100.0,United States,English,,,7027472.0,PG-13
Trick 'r Treat,Michael Dougherty,"['Dylan Baker', 'Rochelle Aytes', 'Anna Paquin', 'Brian Cox']",Dylan Baker,2007-12-09,12.0,82.0,United States,English,12000000.0,,,R
Where the Wild Things Are,Spike Jonze,"['Max Records', 'Catherine Keener', 'Mark Ruffalo', 'Lauren Ambrose', 'Chris Cooper', 'James Gandolfini', ""Catherine O'Hara"", 'Forest Whitaker']",Max Records,2009-10-13,10.0,101.0,,English,100000000.0,100100000.0,32695407.0,PG
Micmacs,Jean-Pierre Jeunet,Dany Boon,D,2009-09-15,9.0,105.0,France,French,30800000.0,16700000.0,42751.0,R
The Box,Richard Kelly,"['Cameron Diaz', 'James Marsden', 'Frank Langella', 'James Rebhorn']",Cameron Diaz,2009-11-06,11.0,115.0,United States,English,30000000.0,33299999.999999996,,
The Blind Side,John Lee Hancock,"['Sandra Bullock', 'Tim McGraw', 'Quinton Aaron', 'Kathy Bates']",Sandra Bullock,2009-11-20,11.0,126.0,United States,English,29000000.0,309200000.0,34119372.0,PG-13
Ninja Assassin,James McTeigue,"['Rain', 'Naomie Harris']",Rain,2009-11-25,11.0,98.0,,English,40000000.0,61600000.0,13316158.0,R
12 Paces Without a Head,Sven Taddicken,"['Ronald Zehrfeld', 'Matthias Schweighöfer']",Ronald Zehrfeld,2009-07-11,7.0,103.0,Germany,German,,,,
Invictus,Clint Eastwood,"['Morgan Freeman', 'Matt Damon']",Morgan Freeman,2009-12-11,12.0,133.0,,,50000000.0,122200000.0,8611147.0,PG-13
Sherlock Holmes,Guy Ritchie,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong', 'Eddie Marsan']",Robert Downey Jr.,2009-12-25,12.0,129.0,,English,90000000.0,524000000.0,62304277.0,PG-13
The Book of Eli,The Hughes Brothers,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Denzel Washington,2010-01-15,1.0,117.0,United States,English,80000000.0,157100000.0,32789494.0,R
Edge of Darkness,Martin Campbell,"['Mel Gibson', 'Ray Winstone', 'Danny Huston', 'Bojana Novakovic']",Mel Gibson,2010-01-29,1.0,117.0,,English,80000000.0,81100000.0,17214384.0,R
Valentine's Day,Garry Marshall,"['Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane', 'Patrick Dempsey', 'Héctor Elizondo', 'Jamie Foxx', 'Jennifer Garner', 'Topher Grace', 'Anne Hathaway', 'Ashton Kutcher', 'Queen Latifah', 'Taylor Lautner', 'George Lopez', 'Shirley MacLaine', 'Emma Roberts', 'Julia Roberts', 'Taylor Swift']",Jessica Alba,2010-02-12,2.0,124.0,United States,English,52000000.0,216500000.0,56260707.0,PG-13
Cop Out,Kevin Smith,"['Bruce Willis', 'Tracy Morgan', 'Adam Brody', 'Kevin Pollak', 'Guillermo Diaz', 'Seann William Scott']",Bruce Willis,2010-02-26,2.0,107.0,United States,English,30000000.0,55600000.0,18211126.0,R
Atithi Tum Kab Jaoge,Ashwni Dhir,"['Ajay Devgn', 'Paresh Rawal', 'Konkona Sen Sharma']",Ajay Devgn,2010-03-05,3.0,115.0,India,Hindi,,,,
Hubble 3D,Toni Myers,,,2010-03-19,3.0,43.0,United States,English,,73600000.0,413477.0,
Lahore,Sanjay Puran Singh Chauhan,"['Aanaahad', 'Shraddha Das', 'Farooq Sheikh', 'Nafisa Ali', 'Sabyasachi Chakrabarty']",Aanaahad,2010-03-19,3.0,126.0,India,Hindi,,,,
Tekken,Dwight H. Little,"['Jon Foo', 'Kelly Overton', 'Cary-Hiroyuki Tagawa', 'Ian Anthony Dale', 'Cung Le', 'Darrin Dewitt Henson', 'Luke Goss', 'Marian Zapico', 'Lateef Crowder', 'Candice Hillebrand', 'Anton Kasabov', 'Roger Huerta']",Jon Foo,2009-11-05,11.0,87.0,United States,English,30000000.0,1700000.0,,R
Clash of the Titans,Louis Leterrier,"['Sam Worthington', 'Gemma Arterton', 'Mads Mikkelsen', 'Alexa Davalos', 'Ralph Fiennes', 'Liam Neeson']",Sam Worthington,2010-04-02,4.0,108.0,,English,125000000.0,493200000.0,61235105.0,PG-13
Jaane Kahan Se Aayi Hai,Milap Milan Zaveri,"['Ritesh Deshmukh', 'Jacqueline Fernandez', 'Sonal Sehgal', 'Ruslaan Mumtaz']",Ritesh Deshmukh,2010-04-09,4.0,115.0,India,Hindi,,,,
The Losers,Sylvain White,"['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris Evans', 'Idris Elba', 'Columbus Short', 'Óscar Jaenada', 'Jason Patric']",Jeffrey Dean Morgan,2010-04-23,4.0,93.0,United States,English,25000000.0,29900000.0,9406348.0,PG-13
A Nightmare on Elm Street,Samuel Bayer,"['Jackie Earle Haley', 'Kyle Gallner', 'Rooney Mara', 'Katie Cassidy', 'Thomas Dekker', 'Kellan Lutz']",Jackie Earle Haley,2010-04-27,4.0,90.0,United States,English,35000000.0,115600000.0,1271000.0,R
Sex and the City 2,Michael Patrick King,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'John Corbett', 'Chris Noth']",Sarah Jessica Parker,2010-05-27,5.0,146.0,United States,English,95000000.0,294600000.0,31001870.0,R
Splice,Vincenzo Natali,"['Adrien Brody', 'Sarah Polley', 'Delphine Chanéac']",Adrien Brody,2009-10-06,10.0,104.0,,English,30000000.0,27100000.0,,R
Outrage,Takeshi Kitano,"['Beat Takeshi', 'Kippei Shiina']",Beat Takeshi,2010-05-17,5.0,109.0,Japan,,,,6518.0,R
Jonah Hex,Jimmy Hayward,"['Josh Brolin', 'John Malkovich', 'Megan Fox', 'Michael Fassbender', 'Will Arnett', 'Michael Shannon']",Josh Brolin,2010-06-18,6.0,81.0,United States,English,47000000.0,11000000.0,5379365.0,PG-13
Inception,Christopher Nolan,"['Leonardo DiCaprio', 'Ken Watanabe', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'Elliot Page', 'Tom Hardy', 'Cillian Murphy', 'Tom Berenger', 'Michael Caine']",Leonardo DiCaprio,2010-07-08,7.0,148.0,,English,160000000.0,836800000.0,62785337.0,PG-13
Cats & Dogs:  The Revenge of Kitty Galore,Brad Peyton,"['Christina Applegate', 'Michael Clarke Duncan', 'Neil Patrick Harris', 'Sean Hayes', 'James Marsden', 'Bette Midler', 'Nick Nolte', 'Joe Pantoliano', 'Katt Williams', ""Chris O'Donnell"", 'Jack McBrayer', 'Roger Moore', 'Fred Armisen', 'Paul Rodriguez']",Christina Applegate,2010-07-30,7.0,82.0,,English,85000000.0,112500000.0,21707617.0,PG
Flipped,Rob Reiner,"['Madeline Carroll', 'Callan McAuliffe', 'Rebecca De Mornay', 'Anthony Edwards', 'John Mahoney', 'Penelope Ann Miller', 'Aidan Quinn', 'Kevin Weisman']",Madeline Carroll,2010-08-06,8.0,90.0,United States,English,14000000.0,4300000.0,224233.0,PG
Lottery Ticket,Erik White,"['Bow Wow', 'Brandon T. Jackson', 'Naturi Naughton', 'Keith David', 'Charlie Murphy', 'Gbenga Akinnagbe', 'Terry Crews', 'Loretta Devine', 'Ice Cube']",Bow Wow,2010-08-20,8.0,99.0,United States,English,17000000.0,24700000.0,10652297.0,PG-13
"No eres tú, soy yo",Alejandro Springall,"['Eugenio Derbez', 'Alejandra Barros', 'Martina García', 'Juan Ríos', 'Alberto Estrella']",Eugenio Derbez,2010-08-27,8.0,,Mexico,Spanish,,,588938.0,PG-13
Going the Distance,Nanette Burstein,"['Drew Barrymore', 'Justin Long', 'Charlie Day', 'Jason Sudeikis', 'Christina Applegate']",Drew Barrymore,2010-08-27,8.0,102.0,United States,English,32000000.0,42100000.0,6884964.0,R
The Town,Ben Affleck,"['Ben Affleck', 'Rebecca Hall', 'Jon Hamm', 'Jeremy Renner', 'Blake Lively', 'Titus Welliver', 'Pete Postlethwaite', 'Chris Cooper']",Ben Affleck,2010-09-08,9.0,124.0,United States,English,37000000.0,154000000.0,23808032.0,R
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"['Helen Mirren', 'Geoffrey Rush', 'Jim Sturgess', 'Hugo Weaving', 'Emily Barclay', 'Abbie Cornish', 'Ryan Kwanten', 'Anthony LaPaglia', 'Miriam Margolyes', 'Sam Neill', 'Richard Roxburgh', 'David Wenham']",Helen Mirren,2010-09-24,9.0,97.0,,English,80000000.0,140100000.0,16112211.0,PG
Life as We Know It,Greg Berlanti,"['Katherine Heigl', 'Josh Duhamel', 'Josh Lucas']",Katherine Heigl,2010-10-08,10.0,115.0,United States,English,38000000.0,105700000.0,14506464.0,PG-13
Young Goethe in Love,Philipp Stölzl,"['Alexander Fehling', 'Miriam Stein', 'Moritz Bleibtreu']",Alexander Fehling,2010-10-14,10.0,102.0,Germany,German,,,17143.0,
Ramayana: The Epic,Chetan Desai,"['Manoj Bajpayee', 'Juhi Chawla', 'Ashutosh Rana', 'Mukesh Rishi']",Manoj Bajpayee,2010-10-15,10.0,98.0,India,Hindi,,,,
The Incite Mill,Hideo Nakata,"['Tatsuya Fujiwara', 'Haruka Ayase', 'Satomi Ishihara', 'Aya Hirayama', 'Nagisa Katahira', ""Kin'ya Kitaōji""]",Tatsuya Fujiwara,2010-10-16,10.0,,Japan,Japanese,,,,
Dus Tola,Ajoy Varma,"['Manoj Bajpayee', 'Aarti Chhabria', 'Tola Makkar', 'Pallavi Sharda', 'Govind Namdeo', 'Asrani', 'Dilip Prabhawalkar', 'Tola Kamat']",Manoj Bajpayee,2010-10-22,10.0,123.0,India,Hindi,,,,
Hereafter,Clint Eastwood,"['Matt Damon', 'Cécile de France']",Matt Damon,2010-09-12,9.0,129.0,United States,,50000000.0,105200000.0,220322.0,PG-13
Due Date,Todd Phillips,"['Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan', 'Juliette Lewis', 'Jamie Foxx']",Robert Downey Jr.,2010-10-31,10.0,95.0,United States,English,65000000.0,211800000.0,32689406.0,R
Ti presento un amico,Carlo Vanzina,Raoul Bova,R,2010-11-12,11.0,103.0,Italy,Italian,,,,
Harry Potter and the Deathly Hallows – Part 1,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'Brendan Gleeson', 'Richard Griffiths', 'John Hurt', 'Jason Isaacs', 'Alan Rickman', 'Fiona Shaw', 'Timothy Spall', 'Imelda Staunton', 'David Thewlis', 'Julie Walters']",Daniel Radcliffe,2010-11-11,11.0,146.0,,English,250000000.0,977000000.0,125017372.0,PG-13
Phas Gaye Re Obama,Subhash Kapoor,"['Rajat Kapoor', 'Neha Dhupia', 'Manu Rishi', 'Sanjay Mishra', 'Amol Gupte']",Rajat Kapoor,2010-12-03,12.0,108.0,India,Hindi,,,,
Three Meters Above The Sky,Fernando González Molina,"['Mario Casas', 'María Valverde']",Mario Casas,2010-12-03,12.0,118.0,Spain,Spanish,3000000.0,,,
